Heur.,T,Low var,,,,,High var,,,
,,R=0.2,R=0.4,R=0.6,R=0.8,,R=0.2,R=0.4,R=0.6,R=0.8
RBS,0.0,0.000,0.000,0.003,0.007,,0.040,0.115,0.279,0.147
,0.2,1.857,0.208,0.227,0.266,,3.974,4.516,2.308,1.433
,0.4,0.012,0.031,0.077,0.505,,0.682,0.335,0.718,3.790
,0.6,0.003,0.002,0.000,0.000,,0.673,0.133,0.057,0.045
,0.8,0.000,0.000,0.000,0.000,,0.043,0.059,0.001,0.008
,1.0,0.000,0.000,0.000,0.000,,0.000,0.000,0.001,0.000
GA,0.0,0.014,0.022,0.031,0.039,,0.418,0.986,1.623,1.620
,0.2,0.073,0.256,0.397,0.458,,1.013,5.955,7.442,6.676
,0.4,0.043,0.182,0.741,5.253,,0.243,0.424,1.469,9.291
,0.6,0.031,0.106,0.236,0.737,,0.148,0.256,0.451,0.853
,0.8,0.023,0.054,0.086,0.127,,0.101,0.144,0.206,0.229
,1.0,0.013,0.025,0.037,0.058,,0.050,0.082,0.086,0.107
GA_IN,0.0,0.010,0.009,0.019,0.022,,0.191,0.317,0.515,0.529
,0.2,0.038,0.200,0.236,0.341,,0.749,3.215,3.761,3.581
,0.4,0.011,0.020,0.057,0.460,,0.240,0.390,1.058,4.114
,0.6,0.009,0.007,0.004,0.004,,0.161,0.228,0.320,0.641
,0.8,0.004,0.003,0.002,0.001,,0.094,0.175,0.134,0.135
,1.0,0.001,0.001,0.000,0.001,,0.012,0.029,0.030,0.034
MA,0.0,0.001,0.004,0.004,0.008,,0.025,0.075,0.129,0.114
,0.2,0.142,0.125,0.192,0.101,,0.338,0.993,0.992,0.578
,0.4,0.029,0.045,0.013,0.325,,0.108,0.086,0.114,0.267
,0.6,0.001,0.000,0.000,0.000,,0.031,0.023,0.002,0.000
,0.8,0.000,0.000,0.000,0.000,,0.002,0.001,0.000,0.000
,1.0,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
MA_IN,0.0,0.000,0.000,0.001,0.000,,0.015,0.027,0.026,0.030
,0.2,0.009,0.058,0.045,0.049,,0.098,0.343,0.453,0.255
,0.4,0.000,0.001,0.003,0.038,,0.026,0.015,0.036,0.145
,0.6,0.000,0.000,0.000,0.000,,0.008,0.002,0.001,0.000
,0.8,0.000,0.000,0.000,0.000,,0.002,0.000,0.000,0.001
,1.0,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
ILS-MP,0.0,0.000,0.000,0.000,0.000,,0.000,0.001,0.007,0.004
,0.2,0.000,0.000,0.001,0.002,,0.006,0.155,0.078,0.070
,0.4,0.000,0.000,0.000,0.001,,0.000,0.001,0.001,0.004
,0.6,0.000,0.000,0.000,0.000,,0.000,0.002,0.000,0.000
,0.8,0.000,0.000,0.000,0.000,,0.001,0.000,0.000,0.000
,1.0,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000
